mod,variable,value
base,k_Q_1,0
base,k_Q_2,-0.324217267666298
base,k_Q_3,-0.0094858086913471
base,k_Q_4,0.34399063657374
base,k_Q_5,0.747552828242308
base,k_Q_6,1.20276467035147
base,k_Q_7,1.69320744337412
base,k_Q_8,2.18917637449003
base,k_Q_9,2.66189333321029
base,k_Q_10,3.09183211671885
base,k_Q_11,3.38401090647597
base,k_Q_12,3.59559218922691
base,k_Q_13,3.68762633747506
base,k_Q_14,3.60963048005808
base,k_Q_15,3.2966676088822
base,k_Q_16,2.66574028899622
base,k_Q_17,1.61134506099165
base,c_Q_1,0.196355048906637
base,c_Q_2,0.227901755443475
base,c_Q_3,0.26446115215524
base,c_Q_4,0.3068194123662
base,c_Q_5,0.355884104562192
base,c_Q_6,0.412702588196947
base,c_Q_7,0.478483133626256
base,c_Q_8,0.55461915810561
base,c_Q_9,0.64271702412301
base,c_Q_10,0.744627907842161
base,c_Q_11,0.862484314982907
base,c_Q_12,0.998741900042981
base,c_Q_13,1.15622733345061
base,c_Q_14,1.33819306122823
base,c_Q_15,1.54837991436354
base,c_Q_16,1.791088651779
base,c_Q_17,2.07126166315911
base,lab_Q_1,0
base,lab_Q_2,0.919080869348654
base,lab_Q_3,0.914491423271295
base,lab_Q_4,0.910784475231645
base,lab_Q_5,0.907109609020634
base,lab_Q_6,0.902089104835551
base,lab_Q_7,0.894845413563014
base,lab_Q_8,0.885737923932394
base,lab_Q_9,0.876239566022515
base,w_Q_1,0
base,w_Q_2,0.94824353381345
base,w_Q_3,0.97866745588604
base,w_Q_4,1.02396625006541
base,w_Q_5,1.0683149736467
base,w_Q_6,1.08719812519809
base,w_Q_7,1.0683149736467
base,w_Q_8,1.02396625006541
base,w_Q_9,0.97866745588604
base,beta_Q_2,0.989795918367347
base,beta_Q_3,0.989587671803415
base,beta_Q_4,0.989375175309607
base,beta_Q_5,0.989158342152661
base,beta_Q_6,0.988937083829246
base,beta_Q_7,0.988711310029842
base,beta_Q_8,0.98848092860188
base,beta_Q_9,0.988245845512122
base,beta_Q_10,0.988005964808288
base,beta_Q_11,0.987761188579886
base,beta_Q_12,0.987511416918251
base,beta_Q_13,0.987256547875766
base,beta_Q_14,0.986996477424251
base,beta_Q_15,0.986731099412501
base,beta_Q_16,0.986460305522961
base,beta_Q_17,0.986183985227511
base,h_Q_2,98
base,h_Q_3,96.04
base,h_Q_4,94.1192
base,h_Q_5,92.236816
base,h_Q_6,90.39207968
base,h_Q_7,88.5842380864
base,h_Q_8,86.812553324672
base,h_Q_9,85.0763022581786
base,h_Q_10,83.374776213015
base,h_Q_11,81.7072806887547
base,h_Q_12,80.0731350749796
base,h_Q_13,78.47167237348
base,h_Q_14,76.9022389260104
base,h_Q_15,75.3641941474902
base,h_Q_16,73.8569102645404
base,h_Q_17,72.3797720592496
base,lamda_Q_1,4.2378938765208
base,lamda_Q_2,3.65127446151591
base,lamda_Q_3,3.14651831697743
base,lamda_Q_4,2.71212259018426
base,lamda_Q_5,2.33821024518397
base,lamda_Q_6,2.01629910541862
base,lamda_Q_7,1.73910384903022
base,lamda_Q_8,1.50036623730732
base,lamda_Q_9,1.2947095349169
base,lamda_Q_10,1.11751366101345
base,lamda_Q_11,0.964808107150305
base,lamda_Q_12,0.833180083212368
base,lamda_Q_13,0.719695716673726
base,lamda_Q_14,0.621832442190172
base,lamda_Q_15,0.537420985422392
base,lamda_Q_16,0.464595573512776
base,lamda_Q_17,0.401751200336664
base,pen_Q_10,0.513623396530762
base,pen_Q_11,0.513623396530762
base,pen_Q_12,0.513623396530762
base,pen_Q_13,0.513623396530762
base,pen_Q_14,0.513623396530762
base,pen_Q_15,0.513623396530762
base,pen_Q_16,0.513623396530762
base,pen_Q_17,0.513623396530762
base,P_Q_1,0.527971560419898
base,P_Q_2,0.522584095517654
base,P_Q_3,0.517142778404808
base,P_Q_4,0.511648227044355
base,P_Q_5,0.506101112028542
base,P_Q_6,0.500502157852245
base,P_Q_7,0.494852144162856
base,P_Q_8,0.489151906982731
base,P_Q_9,0.483402339900016
base,P_Q_10,0.477604395223499
base,P_Q_11,0.471759085096941
base,P_Q_12,0.465867482568138
base,P_Q_13,0.459930722607794
base,P_Q_14,0.453950003073083
base,P_Q_15,0.447926585610611
base,P_Q_16,0.4418617964933
base,P_Q_17,0.43575702738555
base,welf_Q_1,-13.9915730649996
base,welf_Q_2,-9.81831705150471
base,welf_Q_3,-8.17514373420785
base,welf_Q_4,-6.6336951864109
base,welf_Q_5,-5.19392453020408
base,welf_Q_6,-3.85858985703005
base,welf_Q_7,-2.63400742227454
base,welf_Q_8,-1.52805686543841
base,welf_Q_9,-0.547064136034826
base,welf_Q_10,0.305670862605883
